Number,Session,Gender,ID,Expression,Angle,Encoding_expression,Encoding_angle
3174,B,F,22,Sad,Straight,5,4
1041,A,F,31,Afraid,Right,0,3
3940,B,M,09,Sad,Straight,5,4
2910,B,F,15,Angry,Half Left,1,0
300,A,F,09,Neutral,Half Right,4,1
2127,A,M,27,Neutral,Right,4,3
3850,B,M,07,Angry,Straight,1,4
58,A,F,02,Neutral,Straight,4,4
593,A,F,18,Afraid,Half Right,0,1
4389,B,M,23,Happy,Left,3,2
448,A,F,13,Surprised,Half Right,6,1
4195,B,M,17,Angry,Half Right,1,1
1211,A,F,35,Surprised,Right,6,3
2672,B,F,08,Angry,Straight,1,4
523,A,F,16,Afraid,Half Right,0,1
1379,A,M,05,Sad,Right,5,3
2254,A,M,31,Disgusted,Left,2,2
1166,A,F,34,Neutral,Right,4,3
3097,B,F,20,Neutral,Half Left,4,0
1709,A,M,15,Disgusted,Right,2,3
2258,A,M,31,Disgusted,Straight,2,4
948,A,F,28,Disgusted,Half Right,2,1
3494,B,F,31,Surprised,Straight,6,4
3208,B,F,23,Sad,Half Right,5,1
966,A,F,28,Surprised,Right,6,3
3165,B,F,22,Neutral,Left,4,2
4754,B,M,34,Afraid,Half Left,0,0
3505,B,F,32,Disgusted,Left,2,2
2709,B,F,09,Disgusted,Half Right,2,1
1442,A,M,07,Happy,Straight,3,4
3458,B,F,30,Surprised,Half Right,6,1
2607,B,F,06,Disgusted,Straight,2,4
2035,A,M,24,Surprised,Right,6,3
4329,B,M,21,Neutral,Half Left,4,0
3029,B,F,18,Neutral,Half Left,4,0
3334,B,F,27,Disgusted,Straight,2,4
1658,A,M,13,Sad,Half Right,5,1
4496,B,M,26,Neutral,Left,4,2
781,A,F,23,Neutral,Right,4,3
784,A,F,23,Neutral,Straight,4,4
3433,B,F,30,Angry,Half Right,1,1
3108,B,F,20,Surprised,Half Right,6,1
4100,B,M,14,Disgusted,Straight,2,4
1732,A,M,15,Surprised,Straight,6,4
4343,B,M,22,Afraid,Right,0,3
1151,A,F,34,Angry,Right,1,3
2664,B,F,08,Afraid,Right,0,3
1512,A,M,09,Happy,Straight,3,4
4781,B,M,34,Sad,Straight,5,4
3961,B,M,10,Happy,Left,3,2
4266,B,M,19,Happy,Left,3,2
2862,B,F,13,Sad,Straight,5,4
2479,B,F,02,Sad,Right,5,3
2441,B,F,01,Neutral,Half Right,4,1
3380,B,F,28,Sad,Left,5,2
330,A,F,10,Happy,Straight,3,4
4243,B,M,18,Neutral,Half Left,4,0
423,A,F,13,Angry,Half Right,1,1
4137,B,M,15,Happy,Half Left,3,0
2438,B,F,01,Neutral,Left,4,2
4595,B,M,29,Happy,Left,3,2
3319,B,F,26,Surprised,Straight,6,4
1531,A,M,10,Afraid,Half Right,0,1
706,A,F,21,Happy,Right,3,3
967,A,F,28,Surprised,Half Left,6,0
576,A,F,17,Neutral,Right,4,3
2166,A,M,28,Sad,Right,5,3
228,A,F,07,Happy,Straight,3,4
389,A,F,12,Angry,Straight,1,4
1519,A,M,09,Sad,Right,5,3
1670,A,M,14,Angry,Left,1,2
329,A,F,10,Happy,Half Right,3,1
4218,B,M,17,Surprised,Half Left,6,0
11,A,F,01,Disgusted,Right,2,3
3519,B,F,32,Neutral,Straight,4,4
1376,A,M,05,Neutral,Half Right,4,1
4472,B,M,25,Surprised,Left,6,2
3385,B,F,28,Surprised,Left,6,2
992,A,F,29,Neutral,Half Left,4,0
4312,B,M,21,Afraid,Straight,0,4
3153,B,F,22,Angry,Half Right,1,1
37,A,F,02,Afraid,Half Right,0,1
4176,B,M,16,Neutral,Straight,4,4
3338,B,F,27,Happy,Half Right,3,1
2880,B,F,14,Disgusted,Half Left,2,0
4569,B,M,28,Neutral,Straight,4,4
205,A,F,06,Surprised,Right,6,3
3513,B,F,32,Happy,Half Right,3,1
2175,A,M,29,Afraid,Left,0,2
1028,A,F,30,Neutral,Half Right,4,1
1618,A,M,12,Neutral,Right,4,3
1327,A,M,04,Angry,Straight,1,4
1060,A,F,31,Neutral,Left,4,2
844,A,F,25,Disgusted,Straight,2,4
166,A,F,05,Sad,Half Left,5,0
1403,A,M,06,Happy,Left,3,2
4027,B,M,12,Disgusted,Right,2,3
3240,B,F,24,Sad,Left,5,2
3649,B,M,01,Happy,Left,3,2
1293,A,M,03,Angry,Straight,1,4
955,A,F,28,Neutral,Left,4,2
1902,A,M,21,Afraid,Half Left,0,0
3147,B,F,22,Afraid,Half Left,0,0
3297,B,F,26,Disgusted,Half Left,2,0
4445,B,M,25,Afraid,Half Right,0,1
3283,B,F,25,Surprised,Half Right,6,1
1683,A,M,14,Happy,Half Right,3,1
2626,B,F,06,Surprised,Half Right,6,1
1981,A,M,23,Disgusted,Right,2,3
1858,A,M,19,Neutral,Half Right,4,1
4476,B,M,25,Surprised,Straight,6,4
1923,A,M,21,Neutral,Half Right,4,1
946,A,F,28,Disgusted,Right,2,3
3925,B,M,09,Disgusted,Straight,2,4
1504,A,M,09,Disgusted,Right,2,3
1624,A,M,12,Sad,Half Right,5,1
2448,B,F,01,Surprised,Left,6,2
944,A,F,28,Angry,Straight,1,4
3285,B,F,26,Afraid,Left,0,2
1700,A,M,15,Afraid,Left,0,2
1808,A,M,18,Angry,Half Right,1,1
2530,B,F,04,Angry,Half Left,1,0
3533,B,F,33,Afraid,Half Right,0,1
3867,B,M,07,Sad,Right,5,3
1094,A,F,32,Happy,Straight,3,4
4215,B,M,17,Sad,Straight,5,4
155,A,F,05,Happy,Right,3,3
3784,B,M,05,Disgusted,Half Right,2,1
1769,A,M,17,Afraid,Half Left,0,0
758,A,F,22,Surprised,Half Right,6,1
241,A,F,07,Surprised,Half Left,6,0
1984,A,M,23,Disgusted,Straight,2,4
4336,B,M,21,Sad,Straight,5,4
452,A,F,14,Afraid,Half Left,0,0
810,A,F,24,Happy,Left,3,2
456,A,F,14,Angry,Right,1,3
1420,A,M,06,Surprised,Half Left,6,0
4160,B,M,16,Angry,Half Right,1,1
3243,B,F,24,Sad,Half Right,5,1
4587,B,M,29,Angry,Half Left,1,0
2005,A,M,24,Afraid,Left,0,2
2615,B,F,06,Neutral,Half Left,4,0
703,A,F,21,Disgusted,Half Right,2,1
351,A,F,11,Angry,Left,1,2
1846,A,M,19,Disgusted,Right,2,3
4550,B,M,28,Angry,Left,1,2
2033,A,M,24,Sad,Straight,5,4
183,A,F,06,Angry,Straight,1,4
3839,B,M,06,Surprised,Half Right,6,1
343,A,F,10,Surprised,Half Left,6,0
2932,B,F,15,Sad,Straight,5,4
361,A,F,11,Happy,Left,3,2
1995,A,M,23,Sad,Left,5,2
4459,B,M,25,Happy,Half Left,3,0
585,A,F,17,Surprised,Left,6,2
1756,A,M,16,Neutral,Half Right,4,1
1394,A,M,06,Angry,Right,1,3
3211,B,F,23,Surprised,Right,6,3
2652,B,F,07,Neutral,Straight,4,4
613,A,F,18,Sad,Left,5,2
3042,B,F,19,Afraid,Half Left,0,0
376,A,F,11,Surprised,Right,6,3
132,A,F,04,Sad,Half Right,5,1
2046,A,M,25,Angry,Half Left,1,0
1598,A,M,12,Afraid,Left,0,2
3932,B,M,09,Neutral,Right,4,3
2903,B,F,15,Afraid,Left,0,2
2801,B,F,12,Afraid,Half Left,0,0
266,A,F,08,Neutral,Half Right,4,1
2644,B,F,07,Happy,Right,3,3
3268,B,F,25,Happy,Half Right,3,1
1706,A,M,15,Angry,Half Left,1,0
2891,B,F,14,Neutral,Half Right,4,1
4043,B,M,12,Sad,Half Left,5,0
1805,A,M,18,Angry,Left,1,2
365,A,F,11,Happy,Straight,3,4
720,A,F,21,Surprised,Left,6,2
960,A,F,28,Sad,Left,5,2
71,A,F,03,Afraid,Half Left,0,0
1488,A,M,08,Surprised,Left,6,2
2571,B,F,05,Disgusted,Half Right,2,1
2136,A,M,27,Surprised,Left,6,2
4788,B,M,35,Afraid,Right,0,3
395,A,F,12,Happy,Left,3,2
607,A,F,18,Happy,Straight,3,4
1633,A,M,13,Afraid,Half Right,0,1
3110,B,F,21,Afraid,Left,0,2
1890,A,M,20,Neutral,Half Left,4,0
567,A,F,17,Disgusted,Half Left,2,0
249,A,F,08,Angry,Left,1,2
3233,B,F,24,Happy,Half Right,3,1
4645,B,M,30,Surprised,Half Left,6,0
4799,B,M,35,Disgusted,Half Left,2,0
4124,B,M,15,Afraid,Half Right,0,1
2528,B,F,04,Angry,Left,1,2
4759,B,M,34,Angry,Half Left,1,0
779,A,F,23,Happy,Straight,3,4
1886,A,M,20,Happy,Half Right,3,1
200,A,F,06,Sad,Right,5,3
3220,B,F,24,Angry,Left,1,2
2431,B,F,01,Disgusted,Half Right,2,1
942,A,F,28,Angry,Half Left,1,0
150,A,F,05,Disgusted,Right,2,3
1422,A,M,06,Surprised,Straight,6,4
1828,A,M,18,Sad,Half Right,5,1
4380,B,M,23,Angry,Right,1,3
3464,B,F,31,Afraid,Straight,0,4
4150,B,M,15,Surprised,Half Left,6,0
3610,B,F,35,Disgusted,Left,2,2
4805,B,M,35,Happy,Half Right,3,1
1804,A,M,18,Afraid,Straight,0,4
3824,B,M,06,Happy,Half Right,3,1
4288,B,M,20,Disgusted,Half Left,2,0
3026,B,F,18,Happy,Straight,3,4
2756,B,F,10,Sad,Left,5,2
4657,B,M,31,Angry,Straight,1,4
598,A,F,18,Angry,Straight,1,4
4753,B,M,34,Afraid,Right,0,3
4285,B,M,20,Angry,Left,1,2
3643,B,M,01,Angry,Half Right,1,1
1018,A,F,30,Disgusted,Half Right,2,1
3191,B,F,23,Disgusted,Right,2,3
610,A,F,18,Neutral,Half Left,4,0
1207,A,F,35,Sad,Half Left,5,0
118,A,F,04,Disgusted,Straight,2,4
3381,B,F,28,Sad,Right,5,3
3213,B,F,23,Surprised,Half Right,6,1
288,A,F,09,Disgusted,Right,2,3
3131,B,F,21,Neutral,Right,4,3
3970,B,M,10,Neutral,Straight,4,4
994,A,F,29,Neutral,Straight,4,4
2185,A,M,29,Disgusted,Left,2,2
3472,B,F,31,Disgusted,Half Left,2,0
1767,A,M,17,Afraid,Left,0,2
461,A,F,14,Disgusted,Right,2,3
3816,B,M,06,Disgusted,Left,2,2
520,A,F,16,Afraid,Left,0,2
2492,B,F,03,Afraid,Straight,0,4
589,A,F,17,Surprised,Straight,6,4
1668,A,M,14,Afraid,Half Right,0,1
1297,A,M,03,Disgusted,Half Right,2,1
3500,B,F,32,Angry,Left,1,2
340,A,F,10,Sad,Straight,5,4
1260,A,M,02,Disgusted,Left,2,2
1979,A,M,23,Angry,Straight,1,4
1392,A,M,06,Afraid,Straight,0,4
2611,B,F,06,Happy,Half Right,3,1
511,A,F,15,Sad,Right,5,3
3893,B,M,08,Happy,Half Left,3,0
3272,B,F,25,Neutral,Half Left,4,0
3198,B,F,23,Happy,Half Right,3,1
3081,B,F,20,Angry,Right,1,3
3396,B,F,29,Angry,Right,1,3
405,A,F,12,Sad,Left,5,2
4263,B,M,19,Disgusted,Half Left,2,0
501,A,F,15,Happy,Right,3,3
1440,A,M,07,Happy,Half Left,3,0
4011,B,M,11,Surprised,Left,6,2
971,A,F,29,Afraid,Right,0,3
1824,A,M,18,Neutral,Straight,4,4
1279,A,M,02,Surprised,Left,6,2
1654,A,M,13,Neutral,Straight,4,4
4210,B,M,17,Neutral,Half Right,4,1
2377,A,M,34,Sad,Straight,5,4
1009,A,F,30,Afraid,Straight,0,4
3636,B,M,01,Afraid,Right,0,3
4785,B,M,34,Surprised,Half Right,6,1
1921,A,M,21,Neutral,Right,4,3
4035,B,M,12,Happy,Straight,3,4
4748,B,M,33,Surprised,Right,6,3
3025,B,F,18,Happy,Half Right,3,1
2769,B,F,11,Afraid,Half Right,0,1
103,A,F,03,Surprised,Straight,6,4
4270,B,M,19,Happy,Straight,3,4
2645,B,F,07,Happy,Half Left,3,0
515,A,F,15,Surprised,Left,6,2
1409,A,M,06,Neutral,Right,4,3
202,A,F,06,Sad,Half Right,5,1
3511,B,F,32,Happy,Right,3,3
1377,A,M,05,Neutral,Straight,4,4
3442,B,F,30,Happy,Half Left,3,0
4772,B,M,34,Neutral,Left,4,2
4256,B,M,19,Afraid,Right,0,3
4487,B,M,26,Disgusted,Right,2,3
2957,B,F,16,Happy,Straight,3,4
4794,B,M,35,Angry,Half Left,1,0
2423,B,F,01,Angry,Left,1,2
3962,B,M,10,Happy,Right,3,3
1112,A,F,33,Afraid,Half Left,0,0
3864,B,M,07,Neutral,Half Right,4,1
89,A,F,03,Neutral,Left,4,2
3605,B,F,35,Angry,Left,1,2
1290,A,M,03,Angry,Right,1,3
4424,B,M,24,Happy,Half Left,3,0
291,A,F,09,Disgusted,Straight,2,4
4573,B,M,28,Sad,Half Right,5,1
453,A,F,14,Afraid,Half Right,0,1
4455,B,M,25,Disgusted,Half Right,2,1
2869,B,F,14,Afraid,Right,0,3
242,A,F,07,Surprised,Half Right,6,1
264,A,F,08,Neutral,Right,4,3
1860,A,M,19,Sad,Right,5,3
367,A,F,11,Neutral,Right,4,3
243,A,F,07,Surprised,Straight,6,4
4687,B,M,32,Afraid,Straight,0,4
336,A,F,10,Sad,Left,5,2
1156,A,F,34,Disgusted,Right,2,3
3086,B,F,20,Disgusted,Right,2,3
1917,A,M,21,Happy,Half Left,3,0
1077,A,F,32,Afraid,Half Left,0,0
2345,A,M,33,Surprised,Right,6,3
4528,B,M,27,Happy,Half Left,3,0
3136,B,F,21,Sad,Right,5,3
4402,B,M,23,Sad,Half Right,5,1
959,A,F,28,Neutral,Straight,4,4
1188,A,F,35,Angry,Half Right,1,1
1000,A,F,29,Surprised,Left,6,2
4033,B,M,12,Happy,Half Left,3,0
2930,B,F,15,Sad,Half Left,5,0
3653,B,M,01,Neutral,Left,4,2
3713,B,M,03,Disgusted,Right,2,3
4399,B,M,23,Sad,Left,5,2
2111,A,M,27,Angry,Left,1,2
4612,B,M,29,Surprised,Half Right,6,1
4527,B,M,27,Happy,Right,3,3
362,A,F,11,Happy,Right,3,3
3892,B,M,08,Happy,Right,3,3
3903,B,M,08,Sad,Half Left,5,0
1839,A,M,19,Afraid,Straight,0,4
4533,B,M,27,Neutral,Half Left,4,0
3905,B,M,08,Sad,Straight,5,4
1194,A,F,35,Disgusted,Straight,2,4
1247,A,M,01,Surprised,Half Left,6,0
338,A,F,10,Sad,Half Left,5,0
1495,A,M,09,Afraid,Half Left,0,0
551,A,F,16,Surprised,Right,6,3
1196,A,F,35,Happy,Right,3,3
850,A,F,25,Neutral,Left,4,2
1942,A,M,22,Angry,Half Left,1,0
2892,B,F,14,Neutral,Straight,4,4
1257,A,M,02,Angry,Half Left,1,0
2385,A,M,35,Afraid,Half Left,0,0
3376,B,F,28,Neutral,Right,4,3
619,A,F,18,Surprised,Half Left,6,0
868,A,F,26,Afraid,Half Right,0,1
1641,A,M,13,Disgusted,Right,2,3
4398,B,M,23,Neutral,Straight,4,4
1790,A,M,17,Neutral,Straight,4,4
505,A,F,15,Neutral,Left,4,2
778,A,F,23,Happy,Half Right,3,1
3527,B,F,32,Surprised,Half Left,6,0
173,A,F,05,Surprised,Straight,6,4
1381,A,M,05,Sad,Half Right,5,1
1413,A,M,06,Sad,Left,5,2
2422,B,F,01,Afraid,Straight,0,4
1305,A,M,03,Neutral,Right,4,3
4815,B,M,35,Sad,Half Right,5,1
171,A,F,05,Surprised,Half Left,6,0
2059,A,M,25,Neutral,Right,4,3
3729,B,M,03,Sad,Half Left,5,0
1307,A,M,03,Neutral,Half Right,4,1
265,A,F,08,Neutral,Half Left,4,0
950,A,F,28,Happy,Left,3,2
1004,A,F,29,Surprised,Straight,6,4
1117,A,F,33,Angry,Half Left,1,0
4439,B,M,24,Surprised,Half Left,6,0
2123,A,M,27,Happy,Half Left,3,0
562,A,F,17,Angry,Half Left,1,0
1230,A,M,01,Happy,Left,3,2
3751,B,M,04,Happy,Left,3,2
287,A,F,09,Disgusted,Left,2,2
2630,B,F,07,Afraid,Half Left,0,0
951,A,F,28,Happy,Right,3,3
1337,A,M,04,Happy,Straight,3,4
1399,A,M,06,Disgusted,Right,2,3
1907,A,M,21,Angry,Half Left,1,0
2763,B,F,10,Surprised,Half Left,6,0
742,A,F,22,Happy,Half Left,3,0
3642,B,M,01,Angry,Half Left,1,0
2592,B,F,05,Surprised,Straight,6,4
2537,B,F,04,Disgusted,Straight,2,4
592,A,F,18,Afraid,Half Left,0,0
2668,B,F,08,Angry,Left,1,2
41,A,F,02,Angry,Half Left,1,0
3694,B,M,02,Sad,Half Left,5,0
1793,A,M,17,Sad,Half Left,5,0
1541,A,M,10,Disgusted,Half Right,2,1
889,A,F,26,Neutral,Straight,4,4
2843,B,F,13,Angry,Straight,1,4
3983,B,M,11,Afraid,Half Left,0,0
4489,B,M,26,Disgusted,Half Right,2,1
4725,B,M,33,Angry,Half Left,1,0
321,A,F,10,Disgusted,Left,2,2
2646,B,F,07,Happy,Half Right,3,1
3162,B,F,22,Happy,Half Left,3,0
647,A,F,19,Sad,Right,5,3
3479,B,F,31,Happy,Straight,3,4
1742,A,M,16,Angry,Straight,1,4
1904,A,M,21,Afraid,Straight,0,4
3012,B,F,18,Afraid,Straight,0,4
2390,A,M,35,Angry,Half Left,1,0
2100,A,M,26,Sad,Straight,5,4
4063,B,M,13,Disgusted,Half Left,2,0
3265,B,F,25,Happy,Left,3,2
2084,A,M,26,Disgusted,Half Left,2,0
4736,B,M,33,Happy,Half Right,3,1
4711,B,M,32,Sad,Half Right,5,1
1945,A,M,22,Disgusted,Left,2,2
2976,B,F,17,Afraid,Half Right,0,1
724,A,F,21,Surprised,Straight,6,4
1620,A,M,12,Neutral,Half Right,4,1
2553,B,F,04,Surprised,Left,6,2
2838,B,F,13,Afraid,Straight,0,4
3537,B,F,33,Angry,Half Left,1,0
4127,B,M,15,Angry,Right,1,3
3121,B,F,21,Disgusted,Right,2,3
1193,A,F,35,Disgusted,Half Right,2,1
4474,B,M,25,Surprised,Half Left,6,0
2198,A,M,29,Neutral,Half Right,4,1
3238,B,F,24,Neutral,Half Right,4,1
2656,B,F,07,Sad,Half Right,5,1
3560,B,F,33,Surprised,Left,6,2
3358,B,F,28,Afraid,Half Right,0,1
1163,A,F,34,Happy,Half Right,3,1
1643,A,M,13,Disgusted,Half Right,2,1
4490,B,M,26,Disgusted,Straight,2,4
2559,B,F,05,Afraid,Right,0,3
3831,B,M,06,Sad,Left,5,2
1880,A,M,20,Disgusted,Half Left,2,0
4157,B,M,16,Angry,Left,1,2
34,A,F,02,Afraid,Left,0,2
1228,A,M,01,Disgusted,Half Right,2,1
2603,B,F,06,Disgusted,Left,2,2
4237,B,M,18,Happy,Right,3,3
3200,B,F,23,Neutral,Left,4,2
4420,B,M,24,Disgusted,Half Left,2,0
4342,B,M,22,Afraid,Left,0,2
39,A,F,02,Angry,Left,1,2
4353,B,M,22,Disgusted,Right,2,3
878,A,F,26,Disgusted,Half Right,2,1
1239,A,M,01,Neutral,Straight,4,4
2022,A,M,24,Happy,Half Left,3,0
3637,B,M,01,Afraid,Half Left,0,0
197,A,F,06,Neutral,Half Right,4,1
2173,A,M,28,Surprised,Half Right,6,1
4134,B,M,15,Disgusted,Straight,2,4
4567,B,M,28,Neutral,Half Left,4,0
1724,A,M,15,Sad,Right,5,3
4816,B,M,35,Sad,Straight,5,4
2579,B,F,05,Neutral,Right,4,3
4466,B,M,25,Neutral,Straight,4,4
2463,B,F,02,Disgusted,Left,2,2
2299,A,M,32,Neutral,Left,4,2
1236,A,M,01,Neutral,Right,4,3
2828,B,F,12,Sad,Straight,5,4
2845,B,F,13,Disgusted,Right,2,3
203,A,F,06,Sad,Straight,5,4
2540,B,F,04,Happy,Half Left,3,0
1859,A,M,19,Sad,Left,5,2
864,A,F,25,Surprised,Straight,6,4
4175,B,M,16,Neutral,Half Right,4,1
3225,B,F,24,Disgusted,Left,2,2
3688,B,M,02,Neutral,Right,4,3
1145,A,F,34,Afraid,Left,0,2
804,A,F,24,Angry,Straight,1,4
4282,B,M,20,Afraid,Right,0,3
136,A,F,04,Surprised,Half Left,6,0
318,A,F,10,Angry,Half Left,1,0
3082,B,F,20,Angry,Half Left,1,0
3287,B,F,26,Afraid,Half Left,0,0
3346,B,F,27,Sad,Right,5,3
312,A,F,10,Afraid,Left,0,2
1959,A,M,22,Neutral,Straight,4,4
801,A,F,24,Angry,Right,1,3
958,A,F,28,Neutral,Half Right,4,1
1587,A,M,11,Neutral,Straight,4,4
3248,B,F,24,Surprised,Half Right,6,1
1868,A,M,19,Surprised,Straight,6,4
4126,B,M,15,Angry,Left,1,2
1903,A,M,21,Afraid,Half Right,0,1
3099,B,F,20,Neutral,Straight,4,4
4428,B,M,24,Neutral,Right,4,3
1776,A,M,17,Angry,Straight,1,4
896,A,F,26,Surprised,Right,6,3
2907,B,F,15,Afraid,Straight,0,4
2270,A,M,31,Sad,Right,5,3
4290,B,M,20,Disgusted,Straight,2,4
2724,B,F,09,Sad,Half Right,5,1
1396,A,M,06,Angry,Half Right,1,1
2036,A,M,24,Surprised,Half Left,6,0
4095,B,M,14,Angry,Straight,1,4
2169,A,M,28,Sad,Straight,5,4
4363,B,M,22,Neutral,Half Right,4,1
4593,B,M,29,Disgusted,Half Right,2,1
2933,B,F,15,Surprised,Left,6,2
1389,A,M,06,Afraid,Right,0,3
2819,B,F,12,Neutral,Left,4,2
1433,A,M,07,Disgusted,Left,2,2
2473,B,F,02,Neutral,Left,4,2
489,A,F,15,Afraid,Straight,0,4
38,A,F,02,Afraid,Straight,0,4
3575,B,F,34,Disgusted,Left,2,2
4427,B,M,24,Neutral,Left,4,2
4153,B,M,16,Afraid,Right,0,3
4740,B,M,33,Neutral,Half Right,4,1
1191,A,F,35,Disgusted,Right,2,3
309,A,F,09,Surprised,Half Left,6,0
826,A,F,24,Surprised,Right,6,3
224,A,F,07,Happy,Left,3,2
2050,A,M,25,Disgusted,Half Left,2,0
1609,A,M,12,Disgusted,Half Left,2,0
4728,B,M,33,Disgusted,Left,2,2
131,A,F,04,Sad,Half Left,5,0
1960,A,M,22,Sad,Left,5,2
4615,B,M,30,Afraid,Half Left,0,0
1044,A,F,31,Afraid,Straight,0,4
3282,B,F,25,Surprised,Half Left,6,0
4396,B,M,23,Neutral,Half Left,4,0
4098,B,M,14,Disgusted,Half Left,2,0
385,A,F,12,Angry,Left,1,2
754,A,F,22,Sad,Straight,5,4
3627,B,F,35,Sad,Half Left,5,0
3704,B,M,03,Afraid,Half Left,0,0
2375,A,M,34,Sad,Half Left,5,0
4414,B,M,24,Angry,Left,1,2
2773,B,F,11,Angry,Half Left,1,0
750,A,F,22,Sad,Left,5,2
2840,B,F,13,Angry,Right,1,3
650,A,F,19,Sad,Straight,5,4
2170,A,M,28,Surprised,Left,6,2
4630,B,M,30,Happy,Half Left,3,0
4102,B,M,14,Happy,Right,3,3
1021,A,F,30,Happy,Right,3,3
3360,B,F,28,Angry,Left,1,2
1414,A,M,06,Sad,Right,5,3
2624,B,F,06,Surprised,Right,6,3
3909,B,M,08,Surprised,Half Right,6,1
2012,A,M,24,Angry,Half Left,1,0
4791,B,M,35,Afraid,Straight,0,4
4163,B,M,16,Disgusted,Right,2,3
4486,B,M,26,Disgusted,Left,2,2
985,A,F,29,Happy,Left,3,2
3535,B,F,33,Angry,Left,1,2
2328,A,M,33,Disgusted,Straight,2,4
1726,A,M,15,Sad,Half Right,5,1
3763,B,M,04,Sad,Half Left,5,0
1148,A,F,34,Afraid,Half Right,0,1
4334,B,M,21,Sad,Half Left,5,0
4582,B,M,29,Afraid,Half Left,0,0
1141,A,F,33,Surprised,Right,6,3
2026,A,M,24,Neutral,Right,4,3
2197,A,M,29,Neutral,Half Left,4,0
4020,B,M,12,Afraid,Straight,0,4
3451,B,F,30,Sad,Right,5,3
856,A,F,25,Sad,Right,5,3
3663,B,M,01,Surprised,Left,6,2
1371,A,M,05,Happy,Half Right,3,1
1120,A,F,33,Disgusted,Left,2,2
3443,B,F,30,Happy,Half Right,3,1
3947,B,M,10,Afraid,Right,0,3
1611,A,M,12,Disgusted,Straight,2,4
1951,A,M,22,Happy,Right,3,3
4008,B,M,11,Sad,Half Left,5,0
2863,B,F,13,Surprised,Left,6,2
3461,B,F,31,Afraid,Right,0,3
885,A,F,26,Neutral,Left,4,2
2570,B,F,05,Disgusted,Half Left,2,0
601,A,F,18,Disgusted,Half Left,2,0
550,A,F,16,Surprised,Left,6,2
2588,B,F,05,Surprised,Left,6,2
4086,B,M,14,Afraid,Left,0,2
3799,B,M,05,Sad,Half Right,5,1
4161,B,M,16,Angry,Straight,1,4
2722,B,F,09,Sad,Right,5,3
975,A,F,29,Angry,Left,1,2
4443,B,M,25,Afraid,Right,0,3
3251,B,F,25,Afraid,Right,0,3
2266,A,M,31,Neutral,Half Left,4,0
3770,B,M,04,Surprised,Straight,6,4
3457,B,F,30,Surprised,Half Left,6,0
2873,B,F,14,Angry,Left,1,2
56,A,F,02,Neutral,Half Left,4,0
2732,B,F,10,Afraid,Right,0,3
799,A,F,24,Afraid,Straight,0,4
3052,B,F,19,Disgusted,Half Left,2,0
1738,A,M,16,Angry,Left,1,2
4712,B,M,32,Sad,Straight,5,4
472,A,F,14,Neutral,Half Left,4,0
2414,A,M,35,Surprised,Right,6,3
1966,A,M,22,Surprised,Right,6,3
